userid,orderType
100000000371,0.0113493110985
100000001215,0.00847014877945
100000001445,0.0591892153025
100000001575,0.996284365654
100000001601,0.000579936953727
100000001737,0.995290160179
100000001829,0.0617736540735
100000002055,0.00134669383988
100000002241,0.0085147600621
100000003067,0.00317012309097
100000004161,0.998396337032
100000004307,0.0123562067747
100000004855,0.997828662395
100000005055,0.00175075582229
100000005701,0.0481183342636
100000006247,0.0238719470799
100000006327,0.0588865205646
100000006333,0.0688625127077
100000006397,0.00818471517414
100000007397,0.270269870758
100000007525,0.533463001251
100000007951,0.0110483923927
100000007955,0.0171150360256
100000008131,0.00126462732442
100000008427,0.143408223987
100000008745,0.0110116545111
100000009049,0.131975010037
100000009197,0.192950591445
100000009419,0.0418734103441
100000009629,0.000571874377783
100000009961,0.995908498764
100000010157,0.991871595383
100000011403,0.0122920656577
100000012993,0.0876480340958
100000013089,0.553219914436
100000013205,0.0686415210366
100000013455,0.0599286817014
100000013591,0.0500043965876
100000013861,0.00103639776353
100000014191,0.0185921061784
100000014963,0.038841843605
100000015053,0.00210187630728
100000015077,0.995071053505
100000015351,0.254605442286
100000015659,0.998925983906
100000016411,0.033139128238
100000016637,0.0418826788664
100000016665,0.0103904660791
100000016715,0.0196522157639
100000016843,0.0595159605145
100000017191,0.018124088645
100000017255,0.000635482836515
100000017517,0.12882374227
100000017533,0.0068578356877
100000018131,0.99623966217
100000018141,0.320418268442
100000018219,0.0033130729571
100000018439,0.0746693760157
100000018651,0.000866463873535
100000018843,0.409772634506
100000019085,0.350802510977
100000019503,0.00501621421427
100000019777,0.0657276958227
100000019831,0.0517228245735
100000019875,0.805599212646
100000020599,0.0369278751314
100000020705,0.00685860496014
100000020839,0.0718569085002
100000021007,0.0322533063591
100000021741,0.0116418180987
100000023031,0.165838271379
100000023341,0.0463980659842
100000023847,0.000399765878683
110020671228,0.996223926544
110100014968,0.11795990169
110100016420,0.402986377478
110100016422,0.0101108830422
110100018261,0.270079106092
110100035666,0.0678050145507
110100073025,0.0479614585638
110100073927,0.974946022034
110100116029,0.0172342713922
110100133766,0.148787781596
110100171523,0.227169007063
110100173226,0.142860844731
110100218469,0.0170146971941
110100235669,0.0217058882117
110100316927,0.0515859238803
110100335267,0.0130849583074
110100371520,0.84283643961
110100373224,0.0396054275334
110100412425,0.0615203082561
110100418260,0.00501743052155
110100418567,0.865349411964
110100471522,0.0280278772116
110100471527,0.131891205907
110100473324,0.165702879429
110100512827,0.09695456177
110100514267,0.123468063772
110100516521,0.0405065715313
110100516723,0.182911366224
110100516929,0.998576760292
110100535662,0.198378548026
110100573222,0.0751152634621
110100573627,0.00413345964625
110100614362,0.0335190631449
110100614562,0.999409198761
110100618862,0.0161277707666
110100635761,0.142945885658
110100673622,0.835712075233
110100673828,0.0909414887428
110100735369,0.131319671869
110100816922,0.026999251917
110100818367,0.191317126155
110100835466,0.0904877185822
110100835868,0.325662225485
110100871522,0.432851493359
110100873722,0.152612701058
110100933760,0.212600380182
110100973525,0.068238042295
110101018063,0.213952437043
110101018362,0.0208892226219
110101035263,0.0841793566942
110101071220,0.155590355396
110101071222,0.0697846487164
110101071527,0.0215622074902
110101073025,0.0240595042706
110101073225,0.104437336326
110101073822,0.141732558608
110101112320,0.361610025167
110101114064,0.276942193508
110101114660,0.195197418332
110101118361,0.017318604514
110101135467,0.00715762237087
110101173725,0.0420736186206
110101210069,0.619160413742
110101212223,0.0442251749337
110101215122,0.351693719625
110101216420,0.0543179810047
110101216527,0.601338326931
110101216821,0.0229716394097
110101217027,0.995072543621
110101217820,0.0169226303697
110101217824,0.991972565651
110101218861,0.996776044369
110101233064,0.0805813893676
110101273629,0.0770498514175
110101273724,0.0227193720639
110101273826,0.0744365975261
110101273925,0.207448869944
110101312122,0.148071452975
110101314164,0.0417809523642
110101316227,0.471860617399
110101316624,0.890051960945
110101335164,0.105773001909
110101335961,0.025546386838
110101373120,0.108427666128
110101373626,0.0486254133284
110101410927,0.927547812462
110101416523,0.308265179396
110101416629,0.18080329895
110101418269,0.438588112593
110101418763,0.0607055537403
110101433762,0.0170751903206
110101435165,0.0138117540628
110101435360,0.192406609654
110101435465,0.00253753480501
110101471226,0.406412214041
110101473623,0.0754508823156
110101512925,0.63193744421
110101516227,0.0351088531315
110101516323,0.00201827427372
110101518360,0.0202037729323
110101518560,0.0104075325653
110101535968,0.125066041946
110101610427,0.204818546772
110101610625,0.0637665018439
110101610760,0.057164683938
110101610768,0.355614215136
110101612027,0.00218899920583
110101612064,0.0754922404885
110101615728,0.0259748622775
110101615828,0.259260684252
110101615925,0.127462849021
110101616227,0.0507922619581
110101616427,0.0814057961106
110101616628,0.171303227544
110101616762,0.0395057089627
110101616863,0.022921660915
110101616867,0.0148241259158
110101616966,0.0421752184629
110101617522,0.0867502987385
110101618860,0.0385849103332
110101618964,0.014769253321
110101618967,0.0624633952975
110101673221,0.145854100585
110101673423,0.077437594533
110101712427,0.0163025464863
110101712621,0.0569468438625
110101712622,0.0939666926861
110101714266,0.0201550684869
110101714568,0.0614097043872
110101716420,0.0517438575625
110101718064,0.142441406846
110101718461,0.0201363936067
110101735567,0.0116043547168
110101771028,0.0123255718499
110101773127,0.133715033531
110101773722,0.00850393436849
110101773820,0.189248353243
110101810162,0.0594195313752
110101810364,0.995269238949
110101810367,0.531231462955
110101814963,0.295005321503
110101816628,0.0350598357618
110101816826,0.0185043849051
110101816829,0.566677391529
110101818963,0.764782011509
110101833764,0.121868692338
110101871022,0.20354770124
110101871223,0.122007258236
110101873420,0.0297503340989
110101912122,0.0359779968858
110101912224,0.141697719693
110101914166,0.0631199106574
110101914465,0.138985157013
110101914466,0.0742112025619
110101916529,0.027321210131
110101916922,0.0197503715754
110101935966,0.0297486260533
110101973722,0.0181417092681
110102012425,0.0402188710868
110102012824,0.0512467585504
110102012825,0.0214183181524
110102016124,0.0147442193702
110102016220,0.0377567969263
110102033767,0.787704825401
